zip,provider,zone
07004                                                                                                                    ,Comcast,A
07006                                                                                                                    ,Comcast,A
07008                                                                                                                    ,Comcast,A
07016                                                                                                                    ,Comcast,A
07017                                                                                                                    ,Comcast,A
07018                                                                                                                    ,Comcast,A
07021                                                                                                                    ,Comcast,A
07023                                                                                                                    ,Comcast,A
07027                                                                                                                    ,Comcast,A
07028                                                                                                                    ,Comcast,A
07029                                                                                                                    ,Comcast,A
07031                                                                                                                    ,Comcast,A
07031                                                                                                                    ,Comcast,A
07032                                                                                                                    ,Comcast,A
07032                                                                                                                    ,Comcast,A
07033                                                                                                                    ,Comcast,A
07036                                                                                                                    ,Comcast,A
07039                                                                                                                    ,Comcast,A
07040                                                                                                                    ,Comcast,A
07041                                                                                                                    ,Comcast,A
07042                                                                                                                    ,Comcast,A
07043                                                                                                                    ,Comcast,A
07044                                                                                                                    ,Comcast,A
07050                                                                                                                    ,Comcast,A
07052                                                                                                                    ,Comcast,A
07057                                                                                                                    ,Comcast,A
07057                                                                                                                    ,Comcast,A
07060                                                                                                                    ,Comcast,A
07060                                                                                                                    ,Comcast,A
07061                                                                                                                    ,Comcast,A
07062                                                                                                                    ,Comcast,A
07062                                                                                                                    ,Comcast,A
07063                                                                                                                    ,Comcast,A
07063                                                                                                                    ,Comcast,A
07064                                                                                                                    ,Comcast,A
07065                                                                                                                    ,Comcast,A
07066                                                                                                                    ,Comcast,A
07067                                                                                                                    ,Comcast,A
07068                                                                                                                    ,Comcast,A
07069                                                                                                                    ,Comcast,A
07070                                                                                                                    ,Comcast,A
07070                                                                                                                    ,Comcast,A
07071                                                                                                                    ,Comcast,A
07071                                                                                                                    ,Comcast,A
07072                                                                                                                    ,Comcast,A
07072                                                                                                                    ,Comcast,A
07073                                                                                                                    ,Comcast,A
07073                                                                                                                    ,Comcast,A
07074                                                                                                                    ,Comcast,A
07075                                                                                                                    ,Comcast,A
07076                                                                                                                    ,Comcast,A
07077                                                                                                                    ,Comcast,A
07078                                                                                                                    ,Comcast,A
07079                                                                                                                    ,Comcast,A
07080                                                                                                                    ,Comcast,A
07081                                                                                                                    ,Comcast,A
07083                                                                                                                    ,Comcast,A
07088                                                                                                                    ,Comcast,A
07090                                                                                                                    ,Comcast,A
07092                                                                                                                    ,Comcast,A
07094                                                                                                                    ,Comcast,A
07095                                                                                                                    ,Comcast,A
07106                                                                                                                    ,Comcast,A
07107,Comcast,A
07108                                                                                                                    ,Comcast,A
07109                                                                                                                    ,Comcast,A
07111                                                                                                                    ,Comcast,A
07201                                                                                                                    ,Comcast,A
07202                                                                                                                    ,Comcast,A
07203                                                                                                                    ,Comcast,A
07204                                                                                                                    ,Comcast,A
07205                                                                                                                    ,Comcast,A
07208                                                                                                                    ,Comcast,A
07302                                                                                                                    ,Comcast,A
07304                                                                                                                    ,Comcast,A
07305                                                                                                                    ,Comcast,A
07306                                                                                                                    ,Comcast,A
07307                                                                                                                    ,Comcast,A
07310                                                                                                                    ,Comcast,A
07311                                                                                                                    ,Comcast,A
07401,Comcast,A
07701                                                                                                                    ,Comcast,A
07702                                                                                                                    ,Comcast,A
07703                                                                                                                    ,Comcast,A
07704                                                                                                                    ,Comcast,A
07711                                                                                                                    ,Comcast,A
07712                                                                                                                    ,Comcast,A
07716                                                                                                                    ,Comcast,A
07718                                                                                                                    ,Comcast,A
07722                                                                                                                    ,Comcast,A
07723                                                                                                                    ,Comcast,A
07724                                                                                                                    ,Comcast,A
07727                                                                                                                    ,Comcast,A
07728                                                                                                                    ,Comcast,A
07730                                                                                                                    ,Comcast,A
07731                                                                                                                    ,Comcast,A
07732                                                                                                                    ,Comcast,A
07733                                                                                                                    ,Comcast,A
07734                                                                                                                    ,Comcast,A
07737                                                                                                                    ,Comcast,A
07738                                                                                                                    ,Comcast,A
07739                                                                                                                    ,Comcast,A
07740                                                                                                                    ,Comcast,A
07747                                                                                                                    ,Comcast,A
07748                                                                                                                    ,Comcast,A
07750                                                                                                                    ,Comcast,A
07753                                                                                                                    ,Comcast,A
07757                                                                                                                    ,Comcast,A
07758                                                                                                                    ,Comcast,A
07760                                                                                                                    ,Comcast,A
07764                                                                                                                    ,Comcast,A
07799                                                                                                                    ,Comcast,A
07823                                                                                                                    ,Comcast,A
07829                                                                                                                    ,Comcast,A
07830,Comcast,A
07830                                                                                                                    ,Comcast,A
07832                                                                                                                    ,Comcast,A
07836,Comcast,A
07838                                                                                                                    ,Comcast,A
07840                                                                                                                    ,Comcast,A
07853,Comcast,A
07853                                                                                                                    ,Comcast,A
07863                                                                                                                    ,Comcast,A
07865                                                                                                                    ,Comcast,A
07869,Comcast,A
07870                                                                                                                    ,Comcast,A
07880                                                                                                                    ,Comcast,A
07882                                                                                                                    ,Comcast,A
07901                                                                                                                    ,Comcast,A
07920,Comcast,A
07921,Comcast,A
07922                                                                                                                    ,Comcast,A
07924,Comcast,A
07926,Comcast,A
07928,Comcast,A
07930,Comcast,A
07930                                                                                                                    ,Comcast,A
07931,Comcast,A
07933,Comcast,A
07934,Comcast,A
07935,Comcast,A
07940,Comcast,A
07945,Comcast,A
07946,Comcast,A
