zip,provider,zone
6021,Charter,A
6043,Charter,A
6057,Charter,A
6061,Charter,A
6063,Charter,A
6065,Charter,A
6066,Charter,A
6069,Charter,A
6071,Charter,A
6082,Charter,A
6084,Charter,A
6091,Charter,A
6098,Charter,A
6226,Charter,A
6230,Charter,A
6232,Charter,A
6234,Charter,A
6235,Charter,A
6237,Charter,A
6238,Charter,A
6239,Charter,A
6242,Charter,A
6244,Charter,A
6246,Charter,A
6247,Charter,A
6249,Charter,A
6250,Charter,A
6251,Charter,A
6255,Charter,A
6256,Charter,A
6258,Charter,A
6259,Charter,A
6260,Charter,A
6262,Charter,A
6264,Charter,A
6266,Charter,A
6267,Charter,A
6268,Charter,A
6269,Charter,A
6277,Charter,A
6278,Charter,A
6279,Charter,A
6280,Charter,A
6281,Charter,A
6282,Charter,A
6330,Charter,A
6331,Charter,A
6334,Charter,A
6336,Charter,A
6351,Charter,A
6374,Charter,A
6404,Charter,A
6415,Charter,A
6418,Charter,A
6440,Charter,A
6468,Charter,A
6470,Charter,A
6478,Charter,A
6482,Charter,A
6484,Charter,A
6488,Charter,A
6491,Charter,A
6492,Charter,A
6604,Charter,A
6606,Charter,A
6610,Charter,A
6611,Charter,A
6612,Charter,A
6614,Charter,A
6708,Charter,A
6750,Charter,A
6751,Charter,A
6752,Charter,A
6754,Charter,A
6755,Charter,A
6757,Charter,A
6762,Charter,A
6763,Charter,A
6776,Charter,A
6777,Charter,A
6783,Charter,A
6784,Charter,A
6785,Charter,A
6790,Charter,A
6791,Charter,A
6793,Charter,A
6794,Charter,A
6795,Charter,A
6798,Charter,A
6801,Charter,A
6804,Charter,A
6811,Charter,A
6812,Charter,A
6816,Charter,A
6825,Charter,A
6901,Charter,A
6902,Charter,A
30004,Charter,A
30008,Charter,A
30009,Charter,A
30013,Charter,A
30014,Charter,A
30016,Charter,A
30017,Charter,A
30019,Charter,A
30022,Charter,A
30024,Charter,A
30025,Charter,A
30039,Charter,A
30043,Charter,A
30044,Charter,A
30045,Charter,A
30046,Charter,A
30047,Charter,A
30049,Charter,A
30052,Charter,A
30054,Charter,A
30060,Charter,A
30062,Charter,A
30067,Charter,A
30068,Charter,A
30070,Charter,A
30071,Charter,A
30075,Charter,A
30076,Charter,A
30077,Charter,A
30078,Charter,A
30080,Charter,A
30082,Charter,A
30092,Charter,A
30093,Charter,A
30094,Charter,A
30096,Charter,A
30097,Charter,A
30099,Charter,A
30104,Charter,A
30106,Charter,A
30108,Charter,A
30110,Charter,A
30112,Charter,A
30113,Charter,A
30114,Charter,A
30116,Charter,A
30117,Charter,A
30118,Charter,A
30119,Charter,A
30124,Charter,A
30125,Charter,A
30126,Charter,A
30135,Charter,A
30140,Charter,A
30144,Charter,A
30153,Charter,A
30161,Charter,A
30170,Charter,A
30173,Charter,A
30176,Charter,A
30179,Charter,A
30180,Charter,A
30182,Charter,A
30188,Charter,A
30204,Charter,A
30206,Charter,A
30216,Charter,A
30217,Charter,A
30220,Charter,A
30222,Charter,A
30223,Charter,A
30224,Charter,A
30228,Charter,A
30229,Charter,A
30230,Charter,A
30233,Charter,A
30234,Charter,A
30236,Charter,A
